date,title,presenting_author,work_authors,venue,kind,solicitation,venue_type,notes,internal_notes
2010-04-08,A brief introduction to R,Jarad Niemi,,"University of California, Santa Barbara Quantitative Methods in Social Sciences seminar",talk,contributed,,,
2009-11-19,Early outbreak detection using syndromic surveillance networks,Jarad Niemi,,"Department of Biostatistics, University of California, Los Angeles",talk,invited,university,,
2009-10-21,A sequential Monte Carlo primer,Jarad Niemi,,"Department of Statistics and Applied Probability, University of California, Santa Barbara",talk,invited,,,
2009-08-03,Adaptive mixture modeling Metropolis methods for state inference in nonlinear time series,Jarad Niemi,,Joint Statistical Meetings,talk,invited,conference,,
2009-05-18,Nonlinear dynamic models for single-cell time-lapse microscopy,Jarad Niemi,Mike West,Duke Center for Systems Biology Retreat,poster,contributed,,,
2009-02-19,Computational methods for general state-space models,Jarad Niemi,,"Department of Mathematics and Statistics, University of New Mexico",talk,invited,university,,
2009-02-17,Computational methods for general state-space models,Jarad Niemi,,"Department of Statistics, University of Michigan",talk,invited,university,,
2009-02-17,Computational methods for general state-space models,Jarad Niemi,,"Department of Information, Risk, and Operations Management, University of Texas, Austin",talk,invited,university,,
2009-02-06,Computational methods for general state-space models,Jarad Niemi,,"Department of Biostatistics, Johns Hopkins University",talk,invited,university,,
2009-01-28,Computational methods for general state-space models,Jarad Niemi,,"Department of Biostatistics, University of California, Los Angeles",talk,invited,university,,
2009-01-26,Computational methods for general state-space models,Jarad Niemi,,"Department of Statistics, Iowa State University",talk,invited,university,,
2009-01-12,Computational approaches for general state-space models,Jarad Niemi,,"Department of Statistics and Applied Probability, University of California, Santa Barbara",talk,invited,university,,
2008-12-03,Mixture likelihood ratio scan statistic for disease outbreak detection,Jarad Niemi,,7th Annual Meeting of the International Society for Disease Surveillance,talk,contributed,major conference,,
2008-12-02,Test power for drug abuse surveillance,Jarad Niemi,,BioSecure,talk,invited,conference,,
2008-11-17,Assessing the effectiveness of a national drug intervention policy,Jarad Niemi,,Graduate Student Seminar Series,talk,contributed,,,
2008-09-08,Adaptive mixture filtering: an alternative to particle filtering?,Jarad Niemi,,SAMSI Sequential Monte Carlo Kickoff Workshop,poster,contributed,,,
2008-04-02,Discrete-time models for intracellular processes in systems biology,Jarad Niemi,,"Graduate Student Research Day, Duke University",talk,contributed,,,
2008-02-25,Bayesian analysis in systems biology: advances and impact in single-cell dynamical networks,Jarad Niemi,,Graduate Student Seminar Series,talk,contributed,,,
2007-05-26,Bayesian modeling and inference in single cell dynamic networks,Jarad Niemi,,39th Symposium on the Interface: Computing Science and Statistics,talk,contributed,major conference,,
2007-05-24,Stochastic modelling and estimation in dynamic cellular networks,Jarad Niemi,Mike West,39th Symposium on the Interface: Computing Science and Statistics,talk,invited,,,
2007-03-05,Bayesian parameter estimation for systems biological models of dynamic cellular networks,Jarad Niemi,Mike West,SAMSI Biosystems Modeling Workshop,poster,contributed,,,
2006-09-14,Bayesian parameter estimation for systems biological models of dynamic cellular networks,Jarad Niemi,Mike West,1st Annual Duke Systems Biology Symposium,poster,contributed,,,
2006-06-05,Bayesian parameter estimation for systems biological models of dynamic cellular networks,Jarad Niemi,Mike West,8th Valencia International Meeting on Bayesian Statistics,poster,contributed,,,
2006-08-08,Identifying and evaluating contrarian strategies for NCAA tournament pools,Jarad Niemi,,"2006 Joint Statistical Meetings, 8 August",talk,contributed,major conference,,
,fbseq: An R package for fully Bayesian analysis of RNAseq data,Jarad Niemi,Will Landau,,poster,contributed,,,venue and date not recorded in the CV source
